id,BLOCK,B1,W1,B2,W2,B3,W3,B4,W4,B5,W5,B6,W6,B7,W7,B8,W8,B9,W9,B10,W10,B11,W11,B12,W12
1,1,3,6,4,5,3,1,4,5,4,5,3,1,4,1,8,1,4,1,4,1,4,2,4,1
2,1,8,5,4,5,8,3,4,6,4,5,2,6,4,6,2,6,4,3,4,3,4,6,4,6
3,1,9,5,4,5,9,1,4,1,9,5,9,1,9,1,8,1,9,1,8,1,9,2,9,1
4,1,7,6,7,6,8,3,8,6,7,5,7,6,7,6,7,6,7,3,7,3,8,6,4,6
5,1,7,6,4,6,2,5,4,6,4,5,2,6,4,6,2,6,4,5,4,3,4,6,4,6
6,1,3,7,3,7,3,8,3,8,2,7,3,7,4,7,2,7,3,7,3,7,3,8,2,6
7,1,9,3,7,3,9,3,5,3,9,2,9,3,9,1,8,2,9,3,8,3,9,3,9,2
8,1,5,9,5,7,1,9,1,8,5,9,1,9,1,9,1,7,1,9,1,7,2,9,1,9
9,1,5,6,5,6,1,9,1,6,5,9,1,9,1,9,1,6,1,9,1,3,2,9,1,9
10,1,5,9,2,6,1,9,1,5,2,9,2,9,1,9,1,6,1,9,1,8,2,9,1,9
11,1,7,3,7,3,9,3,4,3,7,2,7,3,7,1,7,1,7,1,7,3,9,3,9,1
12,1,8,5,7,5,8,1,8,1,8,5,7,1,8,1,8,1,7,1,8,1,8,2,9,1
13,1,8,5,7,5,8,1,8,1,8,5,7,1,8,1,8,1,7,1,8,1,8,2,9,1
14,1,3,6,4,6,2,3,4,6,4,2,2,3,4,6,2,6,4,3,4,3,4,6,4,6
15,1,5,3,5,2,5,1,5,1,5,2,6,1,6,1,5,1,5,1,7,1,6,1,5,1
16,1,7,9,4,6,1,9,4,6,4,9,7,9,4,9,7,6,4,9,4,8,4,9,4,9
17,1,5,9,2,6,2,9,4,6,4,9,2,9,4,9,2,6,4,9,4,8,4,9,4,9
18,1,5,9,2,6,2,9,4,6,4,9,2,9,4,9,2,6,4,9,4,8,4,9,4,9
19,1,7,9,4,5,2,9,4,5,4,9,2,9,4,9,2,5,4,9,4,2,4,9,4,9
20,1,8,3,7,2,8,1,8,1,8,2,7,1,8,1,8,1,7,1,8,1,8,2,4,1
21,1,3,6,4,6,3,5,4,6,4,5,3,6,4,6,2,6,4,5,4,1,4,6,4,6
22,1,3,6,4,6,3,5,4,6,4,5,3,6,4,6,2,6,4,5,4,1,4,6,4,6
23,1,7,6,7,6,9,5,4,6,7,5,7,6,7,6,7,5,7,1,7,1,9,6,9,6
24,1,3,6,4,6,3,5,4,6,4,5,3,6,4,6,2,6,4,5,4,1,4,6,4,6
25,1,5,7,5,7,5,8,5,8,5,7,6,7,6,7,5,7,5,7,4,7,6,8,5,9
26,1,5,7,5,7,5,8,5,8,5,7,6,7,6,7,5,7,5,7,4,7,6,8,5,9
27,1,5,7,5,7,5,8,5,8,5,7,6,7,6,7,5,7,5,7,4,7,6,8,5,9
28,1,5,7,5,7,5,8,5,8,5,7,6,7,6,7,5,7,5,7,4,7,6,8,5,9
29,1,5,9,5,7,5,9,5,8,5,9,6,9,6,9,5,8,5,9,4,8,6,9,6,9
30,1,3,6,4,6,3,5,4,6,4,5,3,6,4,6,2,6,4,5,4,1,4,6,4,6
31,1,8,3,7,2,8,1,8,1,8,2,7,1,8,1,8,1,7,1,8,1,8,2,4,1
32,1,8,5,7,5,8,1,8,1,8,5,7,1,8,1,8,1,7,1,8,1,8,2,9,1
33,1,3,9,3,5,3,9,3,8,2,9,3,9,1,9,2,8,3,9,3,8,3,9,2,9
34,1,5,8,5,3,5,8,5,8,5,8,9,3,9,8,5,8,5,3,1,8,9,3,5,2
35,1,7,3,7,2,8,2,8,3,7,2,7,2,7,6,7,2,7,3,7,2,8,2,9,2
36,1,3,8,2,7,2,8,3,8,2,8,2,7,1,8,2,8,3,7,2,8,2,8,2,5
37,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,9,2
38,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,9,2
39,1,3,9,2,7,1,9,1,8,2,9,1,9,1,9,1,8,1,9,1,8,2,9,1,9
40,1,3,9,2,7,1,9,1,8,2,9,1,9,1,9,1,8,1,9,1,8,2,9,1,9
41,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,9,2
42,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,9,2
43,1,5,3,4,3,5,3,4,3,4,2,6,3,4,2,5,2,5,2,4,3,4,3,4,2
44,1,5,6,4,6,5,3,4,6,4,5,6,3,4,6,5,6,4,5,4,3,4,6,4,6
45,1,5,6,4,6,5,3,4,6,4,5,6,3,4,6,5,6,4,5,4,3,4,6,4,6
46,1,8,5,4,5,8,5,4,5,4,5,9,6,4,6,8,5,4,5,4,1,4,6,4,5
47,1,6,8,2,6,2,8,4,8,2,8,2,6,4,8,2,8,4,1,2,8,2,8,2,6
48,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
49,1,5,9,2,6,1,9,1,5,2,9,2,9,1,9,1,6,1,9,1,8,2,9,1,9
50,1,9,5,7,5,9,5,8,5,9,5,9,1,9,1,7,5,9,5,7,1,9,2,9,5
51,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
52,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
53,1,9,3,7,3,9,3,8,3,9,5,9,3,9,1,7,1,9,3,7,3,9,3,9,5
54,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
55,1,9,3,7,2,9,3,8,3,9,2,9,3,9,6,7,2,9,3,7,3,9,3,9,2
56,1,8,9,4,5,8,9,8,5,8,9,7,9,8,9,8,5,4,9,8,1,8,9,4,9
57,1,9,3,7,3,9,3,8,3,9,5,9,3,9,1,7,1,9,3,7,3,9,3,9,5
58,1,8,3,7,2,8,1,8,1,8,2,9,1,8,1,8,1,9,1,8,1,8,2,9,1
59,1,9,8,3,7,9,8,3,8,9,8,9,7,9,8,5,8,9,7,3,8,9,8,9,5
60,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
61,1,3,9,3,5,3,9,3,5,8,9,3,9,8,9,8,5,3,9,3,1,3,9,2,9
62,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
63,1,8,5,7,5,8,5,8,5,8,5,9,7,8,7,8,5,9,5,8,7,8,4,9,5
64,1,9,8,3,7,9,8,3,8,9,8,9,7,9,8,5,8,9,7,3,8,9,8,9,5
65,1,8,9,7,5,8,9,8,5,8,9,7,9,8,9,8,5,7,9,8,1,8,9,4,9
66,1,3,7,4,7,3,5,4,5,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,5
67,1,3,7,4,7,3,5,4,5,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,5
68,1,3,9,4,6,3,9,4,8,4,9,3,9,4,9,2,8,4,9,4,8,4,9,4,9
69,1,8,5,7,5,8,1,8,1,8,5,7,1,8,1,8,1,7,1,8,1,8,2,9,1
70,1,5,8,5,7,5,1,5,1,5,8,6,1,6,1,5,1,5,1,2,1,6,8,5,1
71,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,8,5,9,3,8,3,9,3,9,5
72,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
73,1,9,5,7,5,9,5,4,5,9,5,9,3,9,1,7,5,9,5,7,3,9,3,9,5
74,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
75,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
76,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
77,1,9,7,6,2,9,1,6,1,9,2,9,1,9,1,6,1,9,1,3,1,9,2,9,1
78,1,9,5,7,4,9,2,4,1,9,4,9,2,9,4,7,2,9,4,7,4,9,4,9,2
79,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,7,5,9,3,7,3,9,3,9,5
80,1,3,5,4,5,3,5,4,5,4,5,3,9,4,9,2,5,4,5,4,1,4,9,4,5
81,1,5,9,5,2,5,1,5,1,5,9,3,1,4,1,5,1,5,1,3,1,3,9,5,1
82,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
83,1,3,5,4,5,3,5,4,5,4,5,3,1,4,1,2,5,4,5,4,3,4,3,4,5
84,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
85,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
86,1,3,7,3,4,3,1,3,4,9,4,3,7,6,4,6,7,3,4,3,4,3,4,6,4
87,1,8,3,7,2,8,1,8,1,8,2,7,1,8,1,8,1,7,1,8,1,8,2,4,1
88,1,7,3,7,2,8,1,8,1,7,2,7,1,7,1,7,1,7,1,7,1,6,2,6,1
89,1,3,9,4,5,3,9,3,8,4,9,3,9,4,9,2,8,4,9,4,8,4,9,4,9
90,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
91,1,8,5,7,5,8,5,8,5,8,5,7,9,8,9,8,5,7,5,8,1,8,9,4,5
92,1,9,3,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
93,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
94,1,9,7,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
95,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
96,1,9,3,7,2,9,1,5,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
97,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
98,1,3,8,4,7,2,8,4,8,4,8,2,7,4,8,2,8,4,7,4,8,4,8,4,9
99,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,4,2
100,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
101,1,3,7,2,7,2,8,4,8,2,7,2,7,4,7,2,7,3,7,3,7,2,8,2,9
102,1,3,7,2,7,2,8,3,8,2,7,2,7,1,7,2,7,3,7,2,7,2,8,2,9
103,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
104,1,5,3,5,2,5,1,5,1,5,2,6,1,6,1,5,1,5,1,4,1,6,2,5,1
105,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
106,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
107,1,9,7,5,7,9,1,5,1,9,7,9,1,9,1,5,1,9,1,3,1,9,8,9,1
108,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
109,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
110,1,3,8,2,6,2,8,3,6,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
111,1,8,5,6,5,8,5,8,5,8,5,6,7,8,7,8,5,3,5,8,7,8,4,6,5
112,1,9,8,2,6,2,8,3,8,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
113,1,8,3,6,2,8,1,8,1,8,2,6,1,8,1,8,1,3,1,8,1,8,2,6,1
114,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
115,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
116,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
117,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
118,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
119,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
120,1,3,9,3,4,3,9,3,1,8,9,3,9,6,9,6,1,3,9,3,1,3,9,6,9
121,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
122,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
123,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
124,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
125,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
126,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
127,1,3,9,2,7,2,9,3,8,2,9,2,9,1,9,2,8,3,9,2,8,2,9,2,9
128,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
129,1,9,3,5,3,9,3,5,8,9,8,9,3,9,8,5,8,9,3,7,3,9,3,9,1
130,1,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
131,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
132,1,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
133,1,7,3,4,2,5,1,4,1,4,2,7,1,4,1,7,1,4,1,4,1,4,2,4,1
134,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
135,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
136,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
137,1,9,8,7,6,9,8,4,8,9,8,9,6,9,8,7,8,9,1,7,8,9,8,9,6
138,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
139,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
140,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
141,1,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
142,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
143,1,5,3,5,2,5,1,5,1,5,2,7,1,7,1,5,1,5,1,7,1,6,2,5,1
144,1,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
145,1,7,3,7,2,9,2,4,1,7,2,7,2,7,1,7,2,7,1,7,1,9,2,9,2
146,1,3,8,4,6,3,8,4,8,4,8,3,9,4,8,7,8,4,9,4,8,4,8,4,9
147,1,9,3,7,4,9,2,8,4,9,4,9,2,9,4,7,2,9,4,8,2,9,4,9,4
148,1,7,3,7,3,9,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,9,3,9,2
149,1,3,9,3,7,3,9,3,5,2,9,3,9,6,9,6,7,3,9,3,7,3,9,6,9
150,1,3,5,4,5,3,1,4,1,4,5,3,1,4,1,2,1,4,1,4,1,4,2,4,1
