id,BLOCK,B1,W1,B2,W2,B3,W3,B4,W4,B5,W5,B6,W6,B7,W7,B8,W8,B9,W9,B10,W10,B11,W11,B12,W12
1,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
2,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
3,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
4,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
5,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
6,1,1,6,4,2,4,7,4,6,4,6,3,6,4,2,3,6,3,6,4,6,3,6,3,2
7,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
8,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
9,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
10,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
11,1,9,8,9,8,3,8,6,5,3,2,3,8,3,2,3,2,3,8,6,8,3,5,3,8
12,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,2,5,4,3,4,5,4,5,9,5
13,1,1,2,8,4,1,3,1,5,6,2,6,5,1,2,1,2,1,3,1,2,6,2,1,2
14,1,1,8,2,8,1,8,1,7,2,8,3,8,1,7,1,7,1,8,1,8,3,9,1,8
15,1,7,2,7,2,3,8,7,6,7,2,7,8,3,2,3,2,3,8,5,8,3,2,3,8
16,1,1,2,4,2,1,8,1,5,4,2,7,8,1,2,1,2,1,8,1,2,4,2,1,2
17,1,9,6,9,5,7,5,9,6,7,6,9,6,9,4,7,6,9,6,8,6,9,6,9,5
18,1,8,6,4,5,4,5,4,6,4,6,8,6,4,2,3,6,4,6,4,6,4,6,3,5
19,1,1,2,9,2,1,7,1,6,3,2,9,6,1,2,1,2,1,6,1,2,9,2,1,2
20,1,1,2,8,2,8,4,1,4,6,4,6,9,1,2,1,2,1,4,1,2,6,2,1,2
21,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
22,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
23,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
24,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
25,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
26,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
27,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
28,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
29,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
30,1,1,6,4,2,4,7,4,6,4,6,3,6,4,2,3,6,3,6,4,6,3,6,3,2
31,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
32,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
33,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
34,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,2,5,4,3,4,5,4,5,9,5
35,1,1,2,8,4,1,3,1,5,6,2,6,5,1,2,1,2,1,3,1,2,6,2,1,2
36,1,1,8,2,8,1,8,1,7,2,8,3,8,1,7,1,7,1,8,1,8,3,9,1,8
37,1,7,2,7,2,3,8,7,6,7,2,7,8,3,2,3,2,3,8,5,8,3,2,3,8
38,1,1,2,4,2,1,8,1,5,4,2,7,8,1,2,1,2,1,8,1,2,4,2,1,2
39,1,9,6,9,5,7,5,9,6,7,6,9,6,9,4,7,6,9,6,8,6,9,6,9,5
40,1,8,6,4,5,4,5,4,6,4,6,8,6,4,2,3,6,4,6,4,6,4,6,3,5
41,1,1,2,9,2,1,7,1,6,3,2,9,6,1,2,1,2,1,6,1,2,9,2,1,2
42,1,1,2,8,2,8,4,1,4,6,4,6,9,1,2,1,2,1,4,1,2,6,2,1,2
43,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
44,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
45,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
46,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
47,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
48,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
49,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
50,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
51,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
52,1,1,6,4,2,4,7,4,6,4,6,3,6,4,2,3,6,3,6,4,6,3,6,3,2
53,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
54,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
55,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
56,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
57,1,9,8,9,8,3,8,6,5,3,2,3,8,3,2,3,2,3,8,6,8,3,5,3,8
58,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,2,5,4,3,4,5,4,5,9,5
59,1,1,2,8,4,1,3,1,5,6,2,6,5,1,2,1,2,1,3,1,2,6,2,1,2
60,1,1,8,2,8,1,8,1,7,2,8,3,8,1,7,1,7,1,8,1,8,3,9,1,8
61,1,7,2,7,2,3,8,7,6,7,2,7,8,3,2,3,2,3,8,5,8,3,2,3,8
62,1,1,2,4,2,1,8,1,5,4,2,7,8,1,2,1,2,1,8,1,2,4,2,1,2
63,1,9,6,9,5,7,5,9,6,7,6,9,6,9,4,7,6,9,6,8,6,9,6,9,5
64,1,8,6,4,5,4,5,4,6,4,6,8,6,4,2,3,6,4,6,4,6,4,6,3,5
65,1,1,2,9,2,1,7,1,6,3,2,9,6,1,2,1,2,1,6,1,2,9,2,1,2
66,1,1,2,8,2,8,4,1,4,6,4,6,9,1,2,1,2,1,4,1,2,6,2,1,2
67,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
68,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
69,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
70,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
71,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
72,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
73,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
74,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
75,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
76,1,1,6,4,2,4,7,4,6,4,6,3,6,4,2,3,6,3,6,4,6,3,6,3,2
77,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
78,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
79,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
80,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
81,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
82,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
83,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
84,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
85,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
86,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
87,1,1,6,4,2,4,7,4,6,4,6,3,6,4,2,3,6,3,6,4,6,3,6,3,2
88,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
89,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
90,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
91,1,7,1,4,8,7,5,4,5,7,2,7,3,7,3,7,2,8,6,1,5,4,5,9,2
92,1,1,6,4,2,4,8,4,6,4,6,3,6,4,2,3,6,4,6,4,6,4,6,3,2
93,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
94,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
95,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
96,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,1,5,4,3,4,5,4,5,9,5
97,1,7,8,7,8,3,8,7,6,3,8,3,8,3,1,3,6,3,8,5,8,3,6,3,8
98,1,1,7,9,7,1,7,1,7,4,7,9,7,1,7,1,7,4,8,4,5,9,2,9,2
99,1,6,8,9,8,3,8,9,5,3,8,6,5,3,2,6,5,6,8,6,2,6,5,1,5
100,1,9,7,4,5,4,5,4,5,4,7,9,7,4,7,2,5,4,3,4,5,4,5,9,5
101,1,1,2,8,4,1,3,1,5,6,2,6,5,1,2,1,2,1,3,1,2,6,2,1,2
102,1,1,8,2,8,1,8,1,7,2,8,3,8,1,7,1,7,1,8,1,8,3,9,1,8
103,1,7,2,7,2,3,8,7,6,7,2,7,8,3,2,3,2,3,8,5,8,3,2,3,8
104,1,1,2,4,2,1,8,1,5,4,2,7,8,1,2,1,2,1,8,1,2,4,2,1,2
105,1,9,6,9,5,7,5,9,6,7,6,9,6,9,4,7,6,9,6,8,6,9,6,9,5
106,1,8,6,4,5,4,5,4,6,4,6,8,6,4,2,3,6,4,6,4,6,4,6,3,5
107,1,1,2,9,2,1,7,1,6,3,2,9,6,1,2,1,2,1,6,1,2,9,2,1,2
108,1,1,2,8,2,8,4,1,4,6,4,6,9,1,2,1,2,1,4,1,2,6,2,1,2
109,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
110,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
111,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
112,1,7,1,4,8,7,5,4,5,7,2,7,3,7,3,7,2,8,6,1,5,4,5,9,2
113,1,1,6,4,2,4,8,4,6,4,6,3,6,4,2,3,6,4,6,4,6,4,6,3,2
114,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
115,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
116,1,8,6,4,5,4,5,4,6,4,6,8,6,4,2,3,6,4,6,4,6,4,6,3,5
117,1,1,2,4,2,1,8,1,6,4,2,9,6,1,2,1,2,1,6,1,2,4,2,1,2
118,1,1,2,9,2,1,8,1,6,4,2,9,8,1,2,1,2,1,8,1,8,9,2,1,2
119,1,9,6,9,5,1,5,9,6,7,6,9,6,9,4,7,6,9,6,1,6,9,6,9,5
120,1,9,8,9,5,7,5,9,5,7,8,9,5,9,2,7,5,9,8,1,8,9,5,9,8
